formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ce0.225Co1In5Yb0.775,0.0,Heavy_fermion,P 4/m m m,4/mmm,NM,EXCLUDED,mp-20972
Ce0.28La0.72Ru2,1.278,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-1222913
Ce0.5Cu2Nb1Nd1.5Sr2O10,25.05,Cuprate,A m m 2,mm2,FiM,EXCLUDED,mp-1218607
Ce0.5Cu2Ru1Sr2Y1.5O10,0.0,Cuprate,P 4 m m,4mm,FM,EXCLUDED,mp-1218787
Ce0.75Ge12Pr0.25Pt4,0.0,Heavy_fermion,I m -3,m-3,FM,CANDIDATE,mp-1190040
Ce0.7Cu2Eu1.3Ru1Sr2O10,33.0,Cuprate,C 1 m 1,m,FiM,EXCLUDED,mp-1218883
Ce0.805Ru0.195,0.0,Heavy_fermion,F d -3 m,m-3m,FM,CANDIDATE,mp-1214027
Ce0.825Co1In5La0.175,0.0,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-19961
Ce0.84Ru2Y0.16,4.92,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-607
Ce0.96Pt3Si1Th0.04,0.0,Heavy_fermion,P 4 m m,4mm,NM,EXCLUDED,mp-1207119
Ce0.975Cu2Si2,0.0,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5452
Ce0.9In5La0.1Rh1,1.6,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-20294
Ce1,0.85,Heavy_fermion,F m -3 m,m-3m,NM,CANDIDATE,mp-567332
Ce1Co0.25In5Ir0.75,1.52,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-20975
Ce1Co0.2Ir0.8Si3,0.62,Heavy_fermion,I 4 m m,4mm,FM,EXCLUDED,mp-1068906
Ce1Co1.85,0.86,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-1112
Ce1Co1Ge3,0.676666667,Heavy_fermion,I 4 m m,4mm,FM,EXCLUDED,mp-21116
Ce1Cu1Sb2,0.0,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-672238
Ce1Cu2Ge2,1.32,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-20173
Ce1Cu6,0.0,Heavy_fermion,P 1 21/c 1,2/m,FM,EXCLUDED,mp-581942
Ce1Ga6,0.0,Heavy_fermion,P 4/n b m,4/mmm,NM,EXCLUDED,mp-711
Ce1Ge1Pd2,0.0,Heavy_fermion,P n m a,mmm,FM,EXCLUDED,mp-1188948
Ce1Ge2Ni2,0.216666667,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-3325
Ce1Ge3Ir1,0.805,Heavy_fermion,I 4 m m,4mm,FM,EXCLUDED,mp-13122
Ce1Ge3Ni1,0.455,Heavy_fermion,C m m m,mmm,FM,EXCLUDED,mp-1205748
Ce1In3,0.13,Heavy_fermion,P m -3 m,m-3m,FM,CANDIDATE,mp-20369
Ce1In7Pt2,2.1,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-1078439
Ce1Ir2,0.0,Heavy_fermion,F d -3 m,m-3m,FM,CANDIDATE,mp-582
Ce1Ir3,3.34,Heavy_fermion,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1191930
Ce1Ir5,1.82,Heavy_fermion,P 6/m m m,6/mmm,NM,CANDIDATE,mp-30507
Ce1Mo6S8,0.0,Heavy_fermionChevrel,R -3,-3,FM,CANDIDATE,mp-38564
Ce1N0.87,0.0,Heavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-2493
Ce1Ni1Sb2,0.0,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-22539
Ce1Ni2,0.0,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-1654
Ce1Os2,0.0,Heavy_fermion,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102302
Ce1P12Ru4,0.0,Heavy_fermion,I m -3,m-3,FM,CANDIDATE,mp-10069
Ce1P2Pd2,0.0,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-1207218
Ce1Pd1Sb2,0.0,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-1079881
